type,name,category,status,summary,doc_path,last_checked
competitor,Purisys / Noramco (Siegfried),Extraction + chemical synthesis,Active — acquired by Siegfried Holding AG (closed May 1 2026),Patented chemical-synthesis CBD (not pure extraction) plus Extractas Bioscience's extraction; >50 cannabinoids claimed; quote-based pricing,battlecards/purisys-noramco.md,2026-09-16
competitor,GVB Biopharma,Agricultural extraction,Active,"Large-scale hemp extraction; claims 12,000+ kg/mo CBD/CBG/CBN isolate; commodity majors only, no rare-cannabinoid or custom-derivative service",battlecards/gvb-biopharma.md,2026-09-16
competitor,Avicanna,Agricultural extraction (vertically integrated),Active,Colombia-based extraction (Santa Marta Golden Hemp) plus finished pharma/consumer products; Trunerox got Colombia's first indication-specific cannabinoid drug registration,battlecards/avicanna.md,2026-09-16
competitor,Willow Biosciences,Biosynthesis / fermentation,Defunct — renamed Atlas Energy Corp (oil & gas) June 2025,Cannabinoid IP and R&D team sold to Mycofeast Ltd for $2.76M (Apr 2025); no longer a cannabinoid company,battlecards/willow-biosciences.md,2026-09-16
competitor,InMed Pharmaceuticals / BayMedica,Biosynthesis / fermentation,Winding down,"E. coli biosynthesis (IntegraSyn), rare cannabinoids at ~5 g/L yield; BayMedica exiting due to H.R. 5371 federal hemp law (Nov 2025); InMed reverse-merging into Mentari Therapeutics, Q4 2026",battlecards/inmed-baymedica.md,2026-09-16
competitor,CB Therapeutics,Biosynthesis / fermentation,Active (private),Engineered-yeast precision fermentation for cannabinoids plus tryptamines/psychedelics; Cleveland Clinic collaboration (2020); current pricing/COA data unconfirmed,battlecards/cb-therapeutics.md,2026-09-16
competitor,Lygos Inc.,Biosynthesis / fermentation,Likely dormant/discontinued (cannabinoid line),"Fermentation-based ""Lygos CBx"" line ran 2020-2021 with no activity since; current business is industrial malonates/polymers, unrelated to cannabinoids",battlecards/lygos.md,2026-09-16
competitor,Cerilliant (MilliporeSigma),Reference standards,Active,Certified reference standards at mg-scale ampules for instrument calibration; ISO 17025/17034 accredited; DEA bulk-manufacturer application pending (2026),battlecards/cerilliant.md,2026-09-16
competitor,Cayman Chemical,Reference standards,Active,Research-reagent scale (5-50mg CBD standard); DEA bulk-manufacturer application pending since Aug 2025; no cannabinoid cGMP product yet,battlecards/cayman-chemical.md,2026-09-16
competitor,Chiron AS (ZeptoMetrix / Antylia),Reference standards,Active,Norwegian reference-standard manufacturer since 1983; part of Antylia/ZeptoMetrix since 2023; analytical/forensic CRMs, not bulk API,battlecards/chiron-as.md,2026-09-16
partner,Waystone Pharmaceuticals,Co-development,Confirmed — LOI announced April 2025,Jointly building a natural-product/cannabinoid derivative library targeting inflammatory bowel disease; no public progress update since the original LOI,partners/waystone-pharmaceuticals.md,2026-09-16
partner,Parchem Fine & Specialty Chemicals,Distribution,Prospective,Established specialty-chemical distributor already running an active cannabinoid channel (CBD isolate/CBDA/CBG) with DEA List I registration,partners/parchem.md,2026-09-16
partner,Cambrex Corporation,CDMO,Prospective,"DEA-licensed Schedule II-V small-molecule CDMO, mg to 100kg batch scale, no cannabinoid product line (non-conflicted)",partners/cambrex.md,2026-09-16
partner,ProVerde Laboratories,Analytical testing,Prospective,"ISO/IEC 17025:2017 accredited lab in Massachusetts (same state as CitraChem HQ), pharma/biotech client base beyond retail cannabis compliance",partners/proverde-laboratories.md,2026-09-16
partner,Marken (UPS Healthcare),Logistics,Prospective,Clinical-trial logistics network with DEA-licensed depots for controlled substances and cold-chain/deep-frozen handling capability,partners/marken.md,2026-09-16
partner,Association of Cannabinoid Specialists,Trade association,Prospective,501(c)3 nonprofit of practicing cannabinoid-medicine clinicians; credibility and referral opportunity, not a supply-chain vendor,partners/association-of-cannabinoid-specialists.md,2026-09-16
partner,Berje Inc.,Raw material supply,Prospective,Family-owned essential oils/aromatic chemicals supplier since 1949, SQF certified — plausible upstream precursor input for CitraChem's biomimetic process,partners/berje-inc.md,2026-09-16
